Designator,Number,URL
VMMC,353675,https://notams.aim.faa.gov/notamSearch/airport?locID=353675
CYPK,23472,https://notams.aim.faa.gov/notamSearch/airport?locID=23472
CYXX,329268,https://notams.aim.faa.gov/notamSearch/airport?locID=329268
YBBN ,353855,https://notams.aim.faa.gov/notamSearch/airport?locID=353855
CZBB,24146,https://notams.aim.faa.gov/notamSearch/airport?locID=24146
CYVR,23520,https://notams.aim.faa.gov/notamSearch/airport?locID=23520
CYYC,357796,https://notams.aim.faa.gov/notamSearch/airport?locID=357796
CYYZ,23512,https://notams.aim.faa.gov/notamSearch/airport?locID=23512
EDDF,351465,https://notams.aim.faa.gov/notamSearch/airport?locID=351465
EDDM,351461,https://notams.aim.faa.gov/notamSearch/airport?locID=351461
EGCC,351550,https://notams.aim.faa.gov/notamSearch/airport?locID=351550
EGLL,351545,https://notams.aim.faa.gov/notamSearch/airport?locID=351545
EHAM,351623,https://notams.aim.faa.gov/notamSearch/airport?locID=351623
FAOR,355164,https://notams.aim.faa.gov/notamSearch/airport?locID=355164
KATL,10599,https://notams.aim.faa.gov/notamSearch/airport?locID=10599
KBOS,31,https://notams.aim.faa.gov/notamSearch/airport?locID=31
KDFW,16189,https://notams.aim.faa.gov/notamSearch/airport?locID=16189
KIAH,9122,https://notams.aim.faa.gov/notamSearch/airport?locID=9122
KJFK,6384,https://notams.aim.faa.gov/notamSearch/airport?locID=6384
KLAX,1429,https://notams.aim.faa.gov/notamSearch/airport?locID=1429
KLCK,9471,https://notams.aim.faa.gov/notamSearch/airport?locID=9471
KMIA,7451,https://notams.aim.faa.gov/notamSearch/airport?locID=7451
KORD,4422,https://notams.aim.faa.gov/notamSearch/airport?locID=4422
KPDX,13946,https://notams.aim.faa.gov/notamSearch/airport?locID=13946
KSFO,1904,https://notams.aim.faa.gov/notamSearch/airport?locID=1904
LEBL,352127,https://notams.aim.faa.gov/notamSearch/airport?locID=352127
LEMD,352149,https://notams.aim.faa.gov/notamSearch/airport?locID=352149
LFPG,352162,https://notams.aim.faa.gov/notamSearch/airport?locID=352162
LIMC,352406,https://notams.aim.faa.gov/notamSearch/airport?locID=352406
LIRF,352412,https://notams.aim.faa.gov/notamSearch/airport?locID=352412
LSZH,352584,https://notams.aim.faa.gov/notamSearch/airport?locID=352584
MMGL,352722,https://notams.aim.faa.gov/notamSearch/airport?locID=352722
MMMX,352730,https://notams.aim.faa.gov/notamSearch/airport?locID=352730
NZAA,352791,https://notams.aim.faa.gov/notamSearch/airport?locID=352791
NZCH,352779,https://notams.aim.faa.gov/notamSearch/airport?locID=352779
OERK,352843,https://notams.aim.faa.gov/notamSearch/airport?locID=352843
OMDB,352896,https://notams.aim.faa.gov/notamSearch/airport?locID=352896
PANC,10394,https://notams.aim.faa.gov/notamSearch/airport?locID=10394
RCFN,352962,https://notams.aim.faa.gov/notamSearch/airport?locID=352962
RCKH,352968,https://notams.aim.faa.gov/notamSearch/airport?locID=352968
RCMQ,352954,https://notams.aim.faa.gov/notamSearch/airport?locID=352954
RCTP,352959,https://notams.aim.faa.gov/notamSearch/airport?locID=352959
RJAA,352977,https://notams.aim.faa.gov/notamSearch/airport?locID=352977
RJBB,352979,https://notams.aim.faa.gov/notamSearch/airport?locID=352979
RJCC,352966,https://notams.aim.faa.gov/notamSearch/airport?locID=352966
RJFF,352975,https://notams.aim.faa.gov/notamSearch/airport?locID=352975
RJFK,352987,https://notams.aim.faa.gov/notamSearch/airport?locID=352987
RJGG,352978,https://notams.aim.faa.gov/notamSearch/airport?locID=352978
RJNS,345308,https://notams.aim.faa.gov/notamSearch/airport?locID=345308
RJOT,352963,https://notams.aim.faa.gov/notamSearch/airport?locID=352963
RJTT,352984,https://notams.aim.faa.gov/notamSearch/airport?locID=352984
RKPC,353006,https://notams.aim.faa.gov/notamSearch/airport?locID=353006
RKPK,354683,https://notams.aim.faa.gov/notamSearch/airport?locID=354683
RKSI,352972,https://notams.aim.faa.gov/notamSearch/airport?locID=352972
ROAH,352974,https://notams.aim.faa.gov/notamSearch/airport?locID=352974
RPLC,353012,https://notams.aim.faa.gov/notamSearch/airport?locID=353012
RPLL,353011,https://notams.aim.faa.gov/notamSearch/airport?locID=353011
RPVM,353018,https://notams.aim.faa.gov/notamSearch/airport?locID=353018
VABB,353565,https://notams.aim.faa.gov/notamSearch/airport?locID=353565
VCBI,353564,https://notams.aim.faa.gov/notamSearch/airport?locID=353564
VDPP,353580,https://notams.aim.faa.gov/notamSearch/airport?locID=353580
VGHS,353601,https://notams.aim.faa.gov/notamSearch/airport?locID=353601
VHHH,353612,https://notams.aim.faa.gov/notamSearch/airport?locID=353612
VIDP,343187,https://notams.aim.faa.gov/notamSearch/airport?locID=343187
VNKT,,
VOBL,353631,https://notams.aim.faa.gov/notamSearch/airport?locID=353631
VOCC,343320,https://notams.aim.faa.gov/notamSearch/airport?locID=343320
VOHS,353637,https://notams.aim.faa.gov/notamSearch/airport?locID=353637
VTBD,353689,https://notams.aim.faa.gov/notamSearch/airport?locID=353689
VTBS,353688,https://notams.aim.faa.gov/notamSearch/airport?locID=353688
VTCC,353694,https://notams.aim.faa.gov/notamSearch/airport?locID=353694
VTSP,353695,https://notams.aim.faa.gov/notamSearch/airport?locID=353695
VVCR,,
VVDN,353700,https://notams.aim.faa.gov/notamSearch/airport?locID=353700
VVNB,353699,https://notams.aim.faa.gov/notamSearch/airport?locID=353699
VVTS,353704,https://notams.aim.faa.gov/notamSearch/airport?locID=353704
WADD,353772,https://notams.aim.faa.gov/notamSearch/airport?locID=353772
WARR,353777,https://notams.aim.faa.gov/notamSearch/airport?locID=353777
WIII,353770,https://notams.aim.faa.gov/notamSearch/airport?locID=353770
WMKK,353749,https://notams.aim.faa.gov/notamSearch/airport?locID=353749
WMKP,352311,https://notams.aim.faa.gov/notamSearch/airport?locID=352311
WSSS,353850,https://notams.aim.faa.gov/notamSearch/airport?locID=353850
YBBN,353855,https://notams.aim.faa.gov/notamSearch/airport?locID=353855
YBCS,353901,https://notams.aim.faa.gov/notamSearch/airport?locID=353901
YMHB,353872,https://notams.aim.faa.gov/notamSearch/airport?locID=353872
YMML,353864,https://notams.aim.faa.gov/notamSearch/airport?locID=353864
YPPH,353866,https://notams.aim.faa.gov/notamSearch/airport?locID=353866
YPAD,353862,https://notams.aim.faa.gov/notamSearch/airport?locID=353862
YSSY,353863,https://notams.aim.faa.gov/notamSearch/airport?locID=353863
ZBAA,353925,https://notams.aim.faa.gov/notamSearch/airport?locID=353925
ZBAD,380944,https://notams.aim.faa.gov/notamSearch/airport?locID=380944
ZGGG,353965,https://notams.aim.faa.gov/notamSearch/airport?locID=353965
ZHCC,353969,https://notams.aim.faa.gov/notamSearch/airport?locID=353969
ZHHH,353960,https://notams.aim.faa.gov/notamSearch/airport?locID=353960
ZJHK,353971,https://notams.aim.faa.gov/notamSearch/airport?locID=353971
ZLXY,353940,https://notams.aim.faa.gov/notamSearch/airport?locID=353940
ZSAM,353780,https://notams.aim.faa.gov/notamSearch/airport?locID=353780
ZSFZ,353961,https://notams.aim.faa.gov/notamSearch/airport?locID=353961
ZSHC,353893,https://notams.aim.faa.gov/notamSearch/airport?locID=353893
ZSNB,353958,https://notams.aim.faa.gov/notamSearch/airport?locID=353958
ZSNJ,353952,https://notams.aim.faa.gov/notamSearch/airport?locID=353952
ZSPD,353908,https://notams.aim.faa.gov/notamSearch/airport?locID=353908
ZSQD,353963,https://notams.aim.faa.gov/notamSearch/airport?locID=353963
ZSSS,353964,https://notams.aim.faa.gov/notamSearch/airport?locID=353964
ZSWZ,353954,https://notams.aim.faa.gov/notamSearch/airport?locID=353954
ZUCK,353671,https://notams.aim.faa.gov/notamSearch/airport?locID=353671
ZUTF,377923,https://notams.aim.faa.gov/notamSearch/airport?locID=377923
ZUUU,353934,https://notams.aim.faa.gov/notamSearch/airport?locID=353934
ZWWW,353935,https://notams.aim.faa.gov/notamSearch/airport?locID=353935
VHHK,353613,https://notams.aim.faa.gov/notamSearch/airport?locID=353613
CZVR,351327,https://notams.aim.faa.gov/notamSearch/airport?locID=351327
RCAA,352956,https://notams.aim.faa.gov/notamSearch/airport?locID=352956
RJJJ,352981,https://notams.aim.faa.gov/notamSearch/airport?locID=352981
RKRR,353005,https://notams.aim.faa.gov/notamSearch/airport?locID=353005
RPHI,353013,https://notams.aim.faa.gov/notamSearch/airport?locID=353013
WMFC,353755,https://notams.aim.faa.gov/notamSearch/airport?locID=353755
WSJC,353833,https://notams.aim.faa.gov/notamSearch/airport?locID=353833
VVHM,377687,https://notams.aim.faa.gov/notamSearch/airport?locID=377687
ZJSA,353918,https://notams.aim.faa.gov/notamSearch/airport?locID=353918
ZSHA,353919,https://notams.aim.faa.gov/notamSearch/airport?locID=353919
VTBB,353687,https://notams.aim.faa.gov/notamSearch/airport?locID=353687
VLVT,353665,https://notams.aim.faa.gov/notamSearch/airport?locID=353665
VVHN,377685,https://notams.aim.faa.gov/notamSearch/airport?locID=377685
VDPF,376851,https://notams.aim.faa.gov/notamSearch/airport?locID=376851
ZGZU,353921,https://notams.aim.faa.gov/notamSearch/airport?locID=353921